;date;war articles;total articles;standardized
537;21.06.2001;0.0;20;0.0
538;22.06.2001;0.0;19;0.0
539;23.06.2001;0.0;18;0.0
540;24.06.2001;0.0;6;0.0
541;25.06.2001;1.0;20;0.05
542;26.06.2001;0.0;23;0.0
543;27.06.2001;1.0;22;0.045454545454545456
544;28.06.2001;1.0;25;0.04
545;29.06.2001;1.0;23;0.043478260869565216
546;30.06.2001;0.0;24;0.0
547;01.07.2001;0.0;5;0.0
548;02.07.2001;1.0;26;0.038461538461538464
549;03.07.2001;1.0;22;0.045454545454545456
550;04.07.2001;0.0;22;0.0
551;05.07.2001;0.0;18;0.0
552;06.07.2001;3.0;22;0.13636363636363635
553;07.07.2001;1.0;22;0.045454545454545456
554;08.07.2001;1.0;11;0.09090909090909091
555;09.07.2001;1.0;22;0.045454545454545456
556;10.07.2001;0.0;17;0.0
557;11.07.2001;0.0;14;0.0
558;12.07.2001;0.0;19;0.0
559;13.07.2001;0.0;17;0.0
560;14.07.2001;0.0;21;0.0
561;15.07.2001;0.0;7;0.0
562;16.07.2001;1.0;19;0.05263157894736842
563;17.07.2001;1.0;11;0.09090909090909091
564;18.07.2001;0.0;14;0.0
565;19.07.2001;0.0;16;0.0
566;20.07.2001;0.0;18;0.0
567;21.07.2001;0.0;20;0.0
568;22.07.2001;0.0;10;0.0
569;23.07.2001;0.0;19;0.0
570;24.07.2001;1.0;16;0.0625
571;25.07.2001;0.0;20;0.0
572;26.07.2001;0.0;20;0.0
573;27.07.2001;0.0;23;0.0
574;28.07.2001;0.0;26;0.0
575;29.07.2001;0.0;10;0.0
576;30.07.2001;1.0;14;0.07142857142857142
577;31.07.2001;1.0;21;0.047619047619047616
578;01.08.2001;1.0;18;0.05555555555555555
579;02.08.2001;1.0;11;0.09090909090909091
580;03.08.2001;0.0;19;0.0
581;04.08.2001;0.0;17;0.0
582;05.08.2001;1.0;10;0.1
583;06.08.2001;2.0;16;0.125
584;07.08.2001;0.0;8;0.0
585;08.08.2001;1.0;13;0.07692307692307693
586;09.08.2001;1.0;13;0.07692307692307693
587;10.08.2001;1.0;12;0.08333333333333333
588;11.08.2001;1.0;18;0.05555555555555555
589;12.08.2001;0.0;9;0.0
590;13.08.2001;1.0;14;0.07142857142857142
591;14.08.2001;0.0;10;0.0
592;15.08.2001;0.0;16;0.0
593;16.08.2001;0.0;13;0.0
594;17.08.2001;2.0;12;0.16666666666666666
595;18.08.2001;1.0;15;0.06666666666666667
596;19.08.2001;0.0;9;0.0
597;20.08.2001;0.0;9;0.0
598;21.08.2001;0.0;12;0.0
599;22.08.2001;0.0;19;0.0
600;23.08.2001;1.0;15;0.06666666666666667
601;24.08.2001;1.0;17;0.058823529411764705
602;25.08.2001;0.0;6;0.0
603;26.08.2001;0.0;19;0.0
604;27.08.2001;1.0;35;0.02857142857142857
605;28.08.2001;0.0;14;0.0
606;29.08.2001;2.0;26;0.07692307692307693
607;30.08.2001;0.0;22;0.0
608;31.08.2001;0.0;16;0.0
609;01.09.2001;0.0;12;0.0
610;02.09.2001;1.0;23;0.043478260869565216
611;03.09.2001;0.0;29;0.0
612;04.09.2001;0.0;18;0.0
613;05.09.2001;0.0;22;0.0
614;06.09.2001;0.0;11;0.0
615;07.09.2001;0.0;14;0.0
616;08.09.2001;0.0;14;0.0
617;09.09.2001;0.0;11;0.0
618;10.09.2001;2.0;13;0.15384615384615385
619;11.09.2001;0.0;29;0.0
620;12.09.2001;2.0;37;0.05405405405405406
621;13.09.2001;2.0;28;0.07142857142857142
622;14.09.2001;0.0;33;0.0
623;15.09.2001;1.0;17;0.058823529411764705
624;16.09.2001;0.0;17;0.0
625;17.09.2001;2.0;26;0.07692307692307693
626;18.09.2001;1.0;25;0.04
627;19.09.2001;1.0;23;0.043478260869565216
628;20.09.2001;1.0;20;0.05
629;21.09.2001;0.0;28;0.0
630;22.09.2001;3.0;23;0.13043478260869565
631;23.09.2001;3.0;25;0.12
632;24.09.2001;2.0;33;0.06060606060606061
633;25.09.2001;1.0;32;0.03125
634;26.09.2001;0.0;31;0.0
635;27.09.2001;1.0;28;0.03571428571428571
636;28.09.2001;0.0;24;0.0
637;29.09.2001;1.0;19;0.05263157894736842
638;30.09.2001;1.0;10;0.1
639;01.10.2001;2.0;35;0.05714285714285714
640;02.10.2001;2.0;30;0.06666666666666667
641;03.10.2001;0.0;12;0.0
642;04.10.2001;0.0;22;0.0
643;05.10.2001;5.0;22;0.22727272727272727
644;06.10.2001;0.0;26;0.0
645;07.10.2001;3.0;32;0.09375
646;08.10.2001;7.0;38;0.18421052631578946
647;09.10.2001;7.0;37;0.1891891891891892
648;10.10.2001;6.0;32;0.1875
649;11.10.2001;4.0;21;0.19047619047619047
650;12.10.2001;4.0;32;0.125
651;13.10.2001;1.0;29;0.034482758620689655
652;14.10.2001;2.0;11;0.18181818181818182
653;15.10.2001;0.0;31;0.0
654;16.10.2001;3.0;25;0.12
655;17.10.2001;4.0;28;0.14285714285714285
656;18.10.2001;2.0;36;0.05555555555555555
657;19.10.2001;0.0;34;0.0
658;20.10.2001;0.0;19;0.0
659;21.10.2001;0.0;25;0.0
660;22.10.2001;0.0;31;0.0
661;23.10.2001;1.0;23;0.043478260869565216
662;24.10.2001;4.0;29;0.13793103448275862
663;25.10.2001;4.0;20;0.2
664;26.10.2001;2.0;25;0.08
665;27.10.2001;4.0;23;0.17391304347826086
666;28.10.2001;8.0;21;0.38095238095238093
667;29.10.2001;1.0;26;0.038461538461538464
668;30.10.2001;2.0;26;0.07692307692307693
669;31.10.2001;4.0;20;0.2
670;01.11.2001;3.0;23;0.13043478260869565
671;02.11.2001;4.0;27;0.14814814814814814
672;03.11.2001;0.0;17;0.0
673;04.11.2001;1.0;8;0.125
674;05.11.2001;2.0;28;0.07142857142857142
675;06.11.2001;4.0;27;0.14814814814814814
676;07.11.2001;2.0;23;0.08695652173913043
677;08.11.2001;9.0;27;0.3333333333333333
678;09.11.2001;6.0;31;0.1935483870967742
679;10.11.2001;1.0;26;0.038461538461538464
680;11.11.2001;0.0;17;0.0
681;12.11.2001;3.0;28;0.10714285714285714
682;13.11.2001;0.0;31;0.0
