date;SPD;Union;Grüne;FDP;AfD;Linke;FW;Andere
13.08.2009;22;37;12;15;-;9;-;5
06.08.2009;23;35;13;16;-;10;-;3
30.07.2009;24;36;13;14;-;10;-;3
17.07.2009;23;36;13;14;-;10;-;4
02.07.2009;23;35;13;15;-;10;-;4
26.06.2009;24;35;13;15;-;9;-;4
11.06.2009;25;36;13;14;-;9;-;3
15.05.2009;28;35;12;13;-;9;-;3
07.05.2009;27;34;11;14;-;10;-;4
16.04.2009;26;35;11;14;-;10;-;4
08.04.2009;27;34;11;14;-;10;-;4
02.04.2009;26;34;11;15;-;11;-;3
20.03.2009;27;33;10;16;-;10;-;4
05.03.2009;27;32;11;17;-;10;-;3
20.02.2009;26;33;11;16;-;11;-;3
05.02.2009;25;34;11;16;-;11;-;3
22.01.2009;25;35;11;14;-;11;-;4
08.01.2009;26;37;10;13;-;10;-;4
18.12.2008;24;37;11;12;-;11;-;5
12.12.2008;23;36;12;13;-;12;-;4
05.12.2008;23;37;12;12;-;12;-;4
06.11.2008;25;37;11;11;-;12;-;4
16.10.2008;25;35;10;12;-;13;-;5
02.10.2008;25;35;11;13;-;11;-;5
18.09.2008;26;37;10;12;-;12;-;3
10.09.2008;26;36;10;12;-;12;-;4
04.09.2008;26;36;10;11;-;13;-;4
21.08.2008;25;37;10;12;-;13;-;3
08.08.2008;24;36;11;12;-;14;-;3
10.07.2008;24;37;12;11;-;12;-;4
03.07.2008;25;36;11;12;-;13;-;3
12.06.2008;24;36;11;12;-;13;-;4
05.06.2008;24;34;12;13;-;14;-;3
15.05.2008;25;36;12;11;-;12;-;4
01.05.2008;27;37;10;10;-;12;-;4
24.04.2008;27;36;11;10;-;12;-;4
03.04.2008;26;37;11;10;-;12;-;4
20.03.2008;27;38;11;9;-;12;-;3
06.03.2008;28;39;10;8;-;12;-;3
21.02.2008;29;37;9;10;-;12;-;3
07.02.2008;30;38;9;9;-;11;-;3
24.01.2008;30;39;9;9;-;10;-;3
11.01.2008;30;39;9;9;-;9;-;4
14.12.2007;28;39;9;10;-;10;-;4
06.12.2007;28;40;9;9;-;11;-;3
15.11.2007;30;41;9;8;-;9;-;3
01.11.2007;30;40;8;8;-;10;-;4
18.10.2007;28;41;10;7;-;10;-;4
05.10.2007;27;40;10;8;-;11;-;4
20.09.2007;27;39;11;10;-;10;-;3
06.09.2007;27;39;11;9;-;10;-;4
10.08.2007;28;38;10;10;-;10;-;4
02.08.2007;28;38;11;9;-;11;-;3
12.07.2007;28;38;11;9;-;11;-;3
05.07.2007;28;38;10;10;-;11;-;3
24.06.2007;29;38;10;9;-;10;-;4
14.06.2007;29;38;11;9;-;9;-;4
07.06.2007;31;37;11;9;-;9;-;3
18.05.2007;30;37;11;9;-;9;-;4
11.05.2007;31;36;11;10;-;8;-;4
03.05.2007;31;37;11;10;-;8;-;3
19.04.2007;31;36;11;10;-;8;-;4
05.04.2007;31;36;11;11;-;8;-;3
09.03.2007;30;37;11;10;-;8;-;4
01.03.2007;31;36;11;10;-;8;-;4
08.02.2007;32;33;11;12;-;8;-;4
01.02.2007;31;35;11;11;-;8;-;4
11.01.2007;31;35;10;11;-;8;-;5
04.01.2007;30;36;11;11;-;8;-;4
14.12.2006;31;34;12;11;-;8;-;4
07.12.2006;31;35;11;10;-;8;-;5
16.11.2006;32;34;10;11;-;8;-;5
02.11.2006;31;31;12;13;-;9;-;4
19.10.2006;32;32;11;12;-;9;-;4
05.10.2006;33;30;10;13;-;9;-;5
21.09.2006;31;32;10;13;-;9;-;5
07.09.2006;28;34;10;14;-;9;-;5
24.08.2006;29;35;9;13;-;10;-;4
03.08.2006;29;35;10;12;-;9;-;5
21.07.2006;29;35;10;13;-;9;-;4
13.07.2006;28;35;11;12;-;9;-;5
06.07.2006;29;35;10;12;-;10;-;4
15.06.2006;30;37;9;10;-;10;-;4
09.06.2006;30;37;10;10;-;9;-;4
01.06.2006;30;37;10;10;-;9;-;4
18.05.2006;30;37;10;10;-;9;-;4
11.05.2006;31;38;9;9;-;9;-;4
04.05.2006;31;39;10;9;-;8;-;3
27.04.2006;32;37;10;9;-;8;-;4
20.04.2006;32;38;10;9;-;8;-;3
12.04.2006;31;40;9;9;-;8;-;3
06.04.2006;30;40;9;10;-;8;-;3
30.03.2006;31;41;8;9;-;8;-;3
23.03.2006;31;41;9;8;-;8;-;3
16.03.2006;30;40;9;9;-;8;-;4
09.03.2006;29;41;9;9;-;8;-;4
02.03.2006;30;41;10;9;-;7;-;3
23.02.2006;31;42;9;8;-;7;-;3
16.02.2006;30;42;8;9;-;8;-;3
09.02.2006;31;41;8;8;-;8;-;4
02.02.2006;32;40;7;8;-;9;-;4
26.01.2006;33;40;8;7;-;9;-;3
19.01.2006;32;39;9;8;-;9;-;3
